,density,relative_humidity,Run,BurnedOut,height,width
583,0.06,84,583,0.005025125628140704,100,100
584,0.06,85,584,0.004761904761904762,100,100
585,0.06,86,585,0.010033444816053512,100,100
586,0.06,87,586,0.008787346221441126,100,100
587,0.06,88,587,0.008143322475570033,100,100
588,0.06,89,588,0.005235602094240838,100,100
589,0.06,90,589,0.008143322475570033,100,100
590,0.06,91,590,0.014035087719298246,100,100
591,0.06,92,591,0.00684931506849315,100,100
592,0.06,93,592,0.00865051903114187,100,100
593,0.06,94,593,0.007380073800738007,100,100
594,0.06,95,594,0.011904761904761904,100,100
595,0.06,96,595,0.008183306055646482,100,100
596,0.06,97,596,0.011023622047244094,100,100
597,0.06,98,597,0.009569377990430622,100,100
598,0.06,99,598,0.006920415224913495,100,100
599,0.06,100,599,0.012259194395796848,100,100
600,0.07,1,600,0.011396011396011397,100,100
601,0.07,2,601,0.011695906432748537,100,100
602,0.07,3,602,0.009749303621169917,100,100
603,0.07,4,603,0.009722222222222222,100,100
604,0.07,5,604,0.011661807580174927,100,100
605,0.07,6,605,0.01020408163265306,100,100
606,0.07,7,606,0.004366812227074236,100,100
607,0.07,8,607,0.014025245441795231,100,100
608,0.07,9,608,0.006587615283267457,100,100
609,0.07,10,609,0.008534850640113799,100,100
610,0.07,11,610,0.01957831325301205,100,100
611,0.07,12,611,0.005201560468140442,100,100
612,0.07,13,612,0.01394700139470014,100,100
613,0.07,14,613,0.007215007215007215,100,100
614,0.07,15,614,0.009146341463414634,100,100
615,0.07,16,615,0.012129380053908356,100,100
616,0.07,17,616,0.0040650406504065045,100,100
617,0.07,18,617,0.00872093023255814,100,100
618,0.07,19,618,0.0079155672823219,100,100
